rating_grade,facilities,observed_defaults,observed_default_rate,avg_predicted_pd,min_predicted_pd,max_predicted_pd
A,429,9,0.02097902097902098,0.00276880814208443,6.292934447633663e-11,0.004983084511923919
B,732,26,0.03551912568306011,0.009515202784904786,0.0050060595216732395,0.014997342596408683
C,667,33,0.049475262368815595,0.023551677021980775,0.015002549537079498,0.034940831520734496
D,391,36,0.09207161125319693,0.0500491746249172,0.03506131532627586,0.07499967472600275
E,113,17,0.1504424778761062,0.10222329605452342,0.07513522875098275,0.1494151933032355
F,15,0,0.0,0.24744350067610477,0.15061671207598845,0.8906524875467278
