current_rating_grade,facilities,total_ead,total_ecl,avg_ecl,avg_pd_12m,avg_lgd
A,2111,143511426.211,3937740.370042855,1865.3436144210586,0.0036823003315963995,0.5491369037429774
B,7085,504858166.493,27705266.111168437,3910.4115894380293,0.009345594777699364,0.5505665588750573
C,5357,265911121.608,35513496.43125854,6629.362783509154,0.0218706402837409,0.618761244402969
D,1063,56269619.5245,16776935.783670235,15782.630088118754,0.04756675446848542,0.6961557149672049
E,30,1521779.931,123295.82244843693,4109.860748281231,0.0839771,0.6899190517513347
