model,pd_decile,facilities,observed_defaults,observed_default_rate,avg_predicted_pd,min_predicted_pd,max_predicted_pd,calibration_error
raw,1,235,3,0.01276595744680851,0.0017342542251256277,6.292934447633663e-11,0.0030255021389614654,-0.011031703221682882
raw,2,235,7,0.029787234042553193,0.004219672202919615,0.003029040968668867,0.005322741768559833,-0.025567561839633577
raw,3,234,7,0.029914529914529916,0.00673617623788609,0.005332963143647539,0.008186298440883198,-0.023178353676643827
raw,4,235,13,0.05531914893617021,0.009705941936401011,0.00819154872976128,0.01129544309520161,-0.0456132069997692
raw,5,235,5,0.02127659574468085,0.01316149254337168,0.011302602349746203,0.015261706594526763,-0.008115103201309171
raw,6,234,10,0.042735042735042736,0.017690358749745446,0.01530466967203598,0.020620314710900797,-0.02504468398529729
raw,7,235,13,0.05531914893617021,0.02374801872472535,0.020624878184772162,0.02743712477956417,-0.031571130211444864
raw,8,234,13,0.05555555555555555,0.032440670949187914,0.027490917696255595,0.038302207888306954,-0.02311488460636764
raw,9,235,22,0.09361702127659574,0.04625438032740305,0.03831841759939692,0.056103870631941874,-0.047362640949192694
raw,10,235,28,0.11914893617021277,0.09431284326811874,0.056136456215068284,0.8906524875467278,-0.02483609290209403
