model,split,rows,mae,rmse,mean_actual,mean_predicted,weighted_mae,weighted_rmse
random_forest,oot,117,0.09049167256076229,0.11422728901520965,0.678562823722902,0.6873503808957151,0.10489176639349473,0.1360706288679708
ridge,oot,117,0.12939023863256646,0.1680323866281532,0.678562823722902,0.7102261379057425,0.1700739315008163,0.2130563947808124
dummy_mean,oot,117,0.23653769161785868,0.2752128409587909,0.678562823722902,0.699474441723254,0.2226561283459182,0.2488537932813891
ridge,train,541,0.019464883475256316,0.04753796351603606,0.699474441723254,0.6983732396979763,0.002556082135632025,0.009570894335992178
random_forest,train,541,0.06541351683797025,0.08214510280469088,0.699474441723254,0.6990961978894,0.04328688989326128,0.05376037645626895
dummy_mean,train,541,0.2045897943593881,0.2441397152876588,0.699474441723254,0.6994744417232539,0.22017525162542612,0.26068144685028843
random_forest,valid,116,0.0775149529286544,0.09315009697191626,0.7030506222748625,0.7036508903348601,0.08232266970088484,0.09592604825035278
ridge,valid,116,0.11839593354552017,0.1542987317708806,0.7030506222748625,0.7146917552327707,0.1698565129255388,0.22118249742834845
dummy_mean,valid,116,0.20428054189057618,0.24010841163452987,0.7030506222748625,0.699474441723254,0.2243814599285024,0.25904865502735547
