scenario,facilities,total_ead,total_ecl,ecl_rate,avg_pd_12m,avg_lgd,avg_ccf,ecl_change_vs_base,ecl_change_pct_vs_base
severe_downturn,15646,1106027625.4267502,115916907.87219866,0.10480471301742868,0.03490743669253803,0.7119652911495421,0.2680844944394734,33419270.766089275,0.40509367223578824
fx_shock,15646,1025654318.4312,98546199.975633,0.09608129971739926,0.025419555527825002,0.6539470800851248,0.23096510290170014,16048562.869523615,0.19453360644598552
downside,15646,1039049869.5971249,96716032.7660545,0.09308122314047794,0.02425014200721111,0.6422694536550333,0.23715166815799563,14218395.659945115,0.1723491260926329
rate_shock,15646,1016723950.9872501,94823836.84184363,0.09326409272621998,0.025898089553965872,0.6305918272249417,0.2268407260641698,12326199.735734254,0.14941276099678052
base,15646,972072113.7674999,82497637.10610938,0.08486781581087631,0.01765611794260514,0.5838813215045757,0.20621884187651796,0.0,0.0
