alternative_rating_grade,facilities,observed_defaults,expected_defaults,min_predicted_pd,max_predicted_pd,observed_default_rate,avg_predicted_pd,calibration_error
A,429,9,1.1878186929542076,6.292934447633663e-11,0.0049830845119239,0.02097902097902098,0.0027688081420844,-0.01821021283693658
B,732,26,6.9651284385502406,0.0050060595216732,0.0149973425964086,0.03551912568306011,0.0095152027849047,-0.026003922898155406
C,667,33,15.708968573661126,0.0150025495370794,0.0349408315207344,0.049475262368815595,0.0235516770219807,-0.025923585346834897
D,391,36,19.569227278342627,0.0350613153262758,0.0749996747260027,0.09207161125319693,0.0500491746249172,-0.04202243662827973
E_F,128,17,15.262884964302716,0.0751352287509827,0.8906524875467278,0.1328125,0.11924128878361497,-0.013571211216385035
