model,split,rows,default_rate,roc_auc,gini,ks,average_precision,brier_score,mean_predicted_pd,observed_default_rate
logistic_regression,oot,2347,0.05155517682147422,0.6572364170991959,0.3144728341983918,0.25505483652996525,0.09557158568639923,0.04929187254856761,0.025008107348875604,0.05155517682147422
random_forest,oot,2347,0.05155517682147422,0.6456119637937819,0.2912239275875639,0.22459216026969026,0.090257588843052,0.048913151747662545,0.026245638287980558,0.05155517682147422
dummy_prior,oot,2347,0.05155517682147422,0.5,0.0,0.0,0.05155517682147422,0.04964075033140117,0.02428780131482834,0.05155517682147422
random_forest,train,10952,0.02428780131482834,0.911885271854538,0.8237705437090761,0.6591394263311282,0.336736583904717,0.021843644006286394,0.024367452413965467,0.02428780131482834
logistic_regression,train,10952,0.02428780131482834,0.7671807958976609,0.5343615917953217,0.4106588762754725,0.12084745597758861,0.02262951866874927,0.02435958168253418,0.02428780131482834
dummy_prior,train,10952,0.02428780131482834,0.5,0.0,0.0,0.02428780131482834,0.023697904022119756,0.02428780131482834,0.02428780131482834
random_forest,valid,2347,0.040477204942479764,0.7143918855753951,0.42878377115079025,0.38463120501075065,0.10241954372127222,0.038141798861974066,0.025348798556181374,0.040477204942479764
logistic_regression,valid,2347,0.040477204942479764,0.701453678601477,0.402907357202954,0.310451528465925,0.09570852479346843,0.0386581003746329,0.024682833536689496,0.040477204942479764
dummy_prior,valid,2347,0.040477204942479764,0.5,0.0,0.0,0.040477204942479764,0.03910089761234326,0.02428780131482834,0.040477204942479764
