model,split,rows,mae,rmse,mean_actual,mean_predicted,weighted_mae,weighted_rmse
random_forest,oot,41,0.16509068147911785,0.19175542025316478,0.5486100464948627,0.5385963429619022,0.19793612480205058,0.22048262446611408
dummy_mean,oot,41,0.1735185205309152,0.19714127815344915,0.5486100464948627,0.5343986898342166,0.21130803325774244,0.23294244995887012
ridge,oot,41,0.2092213113986475,0.30247975029853175,0.5486100464948627,0.571154046300292,0.44639970654420524,0.6027210657792671
ridge,train,186,3.0153894631253692e-05,4.282684686729816e-05,0.5343986898342166,0.5344011557657717,7.934293700732343e-06,1.4149383172784783e-05
random_forest,train,186,0.10785457960012969,0.12789697989735718,0.5343986898342166,0.5452460307725792,0.09158027396847179,0.10325873746694113
dummy_mean,train,186,0.16518623289968623,0.18831910413053224,0.5343986898342166,0.5343986898342167,0.18978035247964947,0.20825282968455278
random_forest,valid,40,0.15325855067811436,0.17914836800499412,0.5496550102940796,0.5463207818496512,0.09547593389990285,0.13427608453019432
dummy_mean,valid,40,0.14879316938084725,0.17242984245813342,0.5496550102940796,0.5343986898342166,0.1010063592376608,0.1384969171282366
ridge,valid,40,0.21528454253132426,0.25848227991511386,0.5496550102940796,0.544805830742973,0.2171376323481598,0.24420961355336585
